	Open	High	Low	Close	Volume	TradingDate	Code
0	15430.0	15430.0	13890.0	13890.0	5100	2006-12-25	PTC
1	13890.0	14440.0	13890.0	14440.0	7200	2006-12-26	PTC
2	15560.0	15560.0	14200.0	14200.0	5000	2006-12-27	PTC
3	14810.0	15590.0	14810.0	14200.0	9700	2006-12-28	PTC
4	15430.0	15430.0	14200.0	15120.0	11500	2006-12-29	PTC
5	14200.0	14660.0	13890.0	15120.0	3700	2007-01-02	PTC
6	14040.0	14350.0	13890.0	13980.0	9300	2007-01-03	PTC
7	13890.0	13890.0	13270.0	13890.0	33700	2007-01-04	PTC
8	13890.0	14320.0	13730.0	14320.0	15500	2007-01-05	PTC
9	14350.0	14810.0	14260.0	14750.0	10600	2007-01-08	PTC
10	15180.0	15180.0	14510.0	14510.0	8300	2007-01-09	PTC
11	15120.0	15120.0	14970.0	14970.0	2300	2007-01-10	PTC
12	14910.0	15120.0	14660.0	14970.0	14300	2007-01-11	PTC
13	14970.0	14970.0	14660.0	14810.0	19800	2007-01-12	PTC
14	14660.0	14810.0	14350.0	14510.0	25900	2007-01-15	PTC
15	14540.0	14540.0	14230.0	14510.0	3000	2007-01-16	PTC
16	14510.0	14810.0	14320.0	14810.0	7800	2007-01-17	PTC
17	14660.0	14810.0	14540.0	14660.0	7600	2007-01-18	PTC
18	14510.0	15060.0	14510.0	14570.0	10300	2007-01-19	PTC
19	14200.0	14660.0	14200.0	14570.0	6100	2007-01-22	PTC
20	14260.0	14260.0	14200.0	14200.0	2700	2007-01-23	PTC
21	13580.0	14200.0	13580.0	14200.0	6500	2007-01-24	PTC
22	14170.0	15120.0	13890.0	14260.0	17000	2007-01-25	PTC
23	14350.0	14660.0	14350.0	14350.0	9000	2007-01-26	PTC
24	14230.0	14570.0	13890.0	14200.0	5800	2007-01-29	PTC
25	15650.0	15650.0	15430.0	15650.0	41100	2007-01-30	PTC
26	17190.0	17190.0	16360.0	17190.0	15200	2007-01-31	PTC
27	18860.0	18860.0	18860.0	18860.0	22800	2007-02-01	PTC
28	20740.0	20740.0	20740.0	20740.0	24400	2007-02-02	PTC
29	22810.0	22810.0	22810.0	22810.0	58500	2007-02-05	PTC
30	25060.0	25060.0	22530.0	23460.0	72000	2007-02-06	PTC
31	23150.0	23460.0	21670.0	22530.0	19500	2007-02-07	PTC
32	21910.0	21910.0	20370.0	20680.0	12200	2007-02-08	PTC
33	19440.0	20990.0	19440.0	19750.0	31300	2007-02-09	PTC
