	Open	High	Low	Close	Volume	TradingDate	Code
0	12190.0	12220.0	11580.0	11890.0	193140	2008-01-09	LSS
1	11370.0	11370.0	11310.0	11310.0	115220	2008-01-10	LSS
2	11580.0	11860.0	11310.0	11860.0	63380	2008-01-11	LSS
3	11890.0	12310.0	11730.0	11730.0	62760	2008-01-14	LSS
4	11160.0	11830.0	11160.0	11160.0	88500	2008-01-15	LSS
5	11580.0	11700.0	11430.0	11700.0	42870	2008-01-16	LSS
6	11700.0	11890.0	11280.0	11280.0	78060	2008-01-17	LSS
7	11280.0	11550.0	10730.0	11550.0	48410	2008-01-18	LSS
8	11580.0	11580.0	11000.0	11550.0	25000	2008-01-21	LSS
9	11000.0	11030.0	11000.0	11030.0	9300	2008-01-22	LSS
10	10580.0	10580.0	10480.0	10480.0	60200	2008-01-23	LSS
11	11000.0	11000.0	9970.0	9970.0	1570	2008-01-24	LSS
12	9480.0	9570.0	9480.0	9570.0	4530	2008-01-25	LSS
13	9110.0	9570.0	9110.0	9570.0	9800	2008-01-28	LSS
14	9720.0	9720.0	9140.0	9600.0	19400	2008-01-29	LSS
15	9600.0	10060.0	9600.0	10060.0	56560	2008-01-30	LSS
16	9750.0	10550.0	9750.0	10550.0	39060	2008-01-31	LSS
17	10970.0	11000.0	10670.0	11000.0	46040	2008-02-01	LSS
18	11550.0	11550.0	10670.0	11550.0	25630	2008-02-12	LSS
19	11430.0	11430.0	11000.0	11000.0	26630	2008-02-13	LSS
20	11000.0	11030.0	10970.0	10970.0	19710	2008-02-14	LSS
21	10970.0	10970.0	10420.0	10550.0	14910	2008-02-15	LSS
22	10060.0	10210.0	10060.0	10060.0	26140	2008-02-18	LSS
23	9750.0	10060.0	9750.0	9970.0	30900	2008-02-19	LSS
24	10000.0	10030.0	9480.0	9480.0	16640	2008-02-20	LSS
25	9020.0	9110.0	9020.0	9020.0	37070	2008-02-21	LSS
26	8750.0	9140.0	8720.0	9140.0	46300	2008-02-22	LSS
27	9600.0	9600.0	9600.0	9600.0	79900	2008-02-25	LSS
28	10000.0	10000.0	9140.0	9140.0	45660	2008-02-26	LSS
29	9140.0	9450.0	9140.0	9450.0	41480	2008-02-27	LSS
30	9570.0	9600.0	9450.0	9570.0	18010	2008-02-28	LSS
31	9570.0	9570.0	9300.0	9300.0	9650	2008-02-29	LSS
32	9140.0	9170.0	8900.0	8900.0	36150	2008-03-03	LSS
33	8470.0	8590.0	8470.0	8470.0	36200	2008-03-04	LSS
34	8080.0	8530.0	8080.0	8080.0	100730	2008-03-05	LSS
35	8470.0	8470.0	8470.0	8470.0	65060	2008-03-06	LSS
36	8870.0	8870.0	8870.0	8870.0	35500	2008-03-07	LSS
37	9300.0	9300.0	8530.0	8530.0	67450	2008-03-10	LSS
38	8530.0	8750.0	8530.0	8630.0	97910	2008-03-11	LSS
