	Open	High	Low	Close	Volume	TradingDate	Code
0	37430.0	37430.0	33240.0	35340.0	4820970	2017-04-21	PLX
1	35340.0	35770.0	34690.0	34980.0	1757390	2017-04-24	PLX
2	34760.0	34980.0	32560.0	32630.0	2533550	2017-04-25	PLX
3	31150.0	32160.0	31150.0	31870.0	1743790	2017-04-26	PLX
4	31870.0	33170.0	31870.0	33170.0	825430	2017-04-27	PLX
5	33320.0	33970.0	33320.0	33710.0	781910	2017-04-28	PLX
6	33710.0	33820.0	33240.0	33790.0	521490	2017-05-03	PLX
7	33790.0	34330.0	33750.0	34330.0	2947740	2017-05-04	PLX
8	34040.0	34330.0	33970.0	34040.0	1274310	2017-05-05	PLX
9	33970.0	34330.0	33680.0	34330.0	1414880	2017-05-08	PLX
10	34330.0	34330.0	33890.0	33890.0	864620	2017-05-09	PLX
11	33890.0	34250.0	33890.0	34040.0	2706150	2017-05-10	PLX
12	34040.0	35920.0	34040.0	35120.0	3351200	2017-05-11	PLX
13	35120.0	35340.0	34980.0	35120.0	1272460	2017-05-12	PLX
14	34870.0	35560.0	34690.0	35190.0	2429190	2017-05-15	PLX
15	35480.0	37580.0	35190.0	36930.0	3627190	2017-05-16	PLX
16	36860.0	37580.0	36500.0	36860.0	1642560	2017-05-17	PLX
17	36710.0	38300.0	36710.0	38300.0	3077950	2017-05-18	PLX
18	38880.0	40980.0	38520.0	40980.0	4369030	2017-05-19	PLX
19	43220.0	43790.0	42640.0	43790.0	3062670	2017-05-22	PLX
20	44080.0	46610.0	43790.0	43790.0	2839240	2017-05-23	PLX
21	43790.0	43870.0	41550.0	42640.0	1789900	2017-05-24	PLX
22	42640.0	43430.0	42350.0	42640.0	684100	2017-05-25	PLX
23	42060.0	42570.0	41630.0	41990.0	1237030	2017-05-26	PLX
24	41920.0	43720.0	41920.0	43430.0	967250	2017-05-29	PLX
25	43430.0	44880.0	43430.0	44080.0	1067000	2017-05-30	PLX
26	44440.0	44590.0	43650.0	44230.0	714650	2017-05-31	PLX
27	44230.0	44660.0	44230.0	44230.0	522880	2017-06-01	PLX
28	43870.0	44230.0	43140.0	43140.0	1244790	2017-06-02	PLX
29	43140.0	44660.0	42780.0	44160.0	665100	2017-06-05	PLX
30	44160.0	44440.0	43940.0	44440.0	554760	2017-06-06	PLX
31	44370.0	44660.0	44080.0	44160.0	626820	2017-06-07	PLX
32	44160.0	44300.0	43940.0	44160.0	325680	2017-06-08	PLX
33	44080.0	45820.0	44080.0	45240.0	1104760	2017-06-09	PLX
34	45240.0	46610.0	45020.0	45530.0	830860	2017-06-12	PLX
35	45670.0	46030.0	45310.0	45530.0	422580	2017-06-13	PLX
36	45380.0	45530.0	44730.0	45530.0	848170	2017-06-14	PLX
37	45170.0	45750.0	44880.0	45380.0	546160	2017-06-15	PLX
38	45090.0	45530.0	45020.0	45090.0	369590	2017-06-16	PLX
39	45020.0	46110.0	45020.0	46110.0	797760	2017-06-19	PLX
40	46250.0	47260.0	46180.0	47260.0	1506260	2017-06-20	PLX
41	47340.0	48420.0	46540.0	48350.0	980190	2017-06-21	PLX
42	48850.0	50440.0	48780.0	50230.0	1121960	2017-06-22	PLX
43	50370.0	52030.0	50300.0	51600.0	1825360	2017-06-23	PLX
44	52030.0	52970.0	51450.0	51890.0	1137940	2017-06-26	PLX
45	51530.0	51740.0	49720.0	49720.0	1547410	2017-06-27	PLX
46	49430.0	50370.0	48640.0	49580.0	1212630	2017-06-28	PLX
47	49720.0	50730.0	49070.0	50230.0	980940	2017-06-29	PLX
48	50520.0	50660.0	49860.0	49860.0	846590	2017-06-30	PLX
49	49860.0	50300.0	49500.0	49790.0	1235890	2017-07-03	PLX
50	49500.0	49580.0	48560.0	48930.0	983220	2017-07-04	PLX
51	48850.0	50150.0	48640.0	49720.0	493040	2017-07-05	PLX
52	49500.0	51450.0	49140.0	51310.0	1697930	2017-07-06	PLX
53	51090.0	51310.0	50150.0	50230.0	1345800	2017-07-07	PLX
54	49500.0	50150.0	49290.0	49720.0	1149130	2017-07-10	PLX
