	Open	High	Low	Close	Volume	TradingDate	Code
0	1730.0	1730.0	1730.0	1730.0	0	2011-11-18	ITD
1	1730.0	1730.0	1730.0	1730.0	0	2011-11-21	ITD
2	1890.0	1890.0	1890.0	1890.0	0	2011-11-22	ITD
3	1890.0	1890.0	1890.0	1890.0	0	2011-11-23	ITD
4	1890.0	1890.0	1890.0	1890.0	0	2011-11-24	ITD
5	1890.0	1890.0	1890.0	1890.0	0	2011-11-25	ITD
6	1890.0	1890.0	1890.0	1890.0	0	2011-11-28	ITD
7	2050.0	2050.0	2050.0	2050.0	0	2011-11-29	ITD
8	2250.0	2250.0	2250.0	2250.0	0	2011-11-30	ITD
9	2460.0	2460.0	2460.0	2460.0	0	2011-12-01	ITD
10	2460.0	2460.0	2460.0	2460.0	0	2011-12-02	ITD
11	2790.0	2790.0	2740.0	2740.0	2550	2011-12-20	ITD
12	2600.0	2630.0	2600.0	2630.0	1600	2011-12-21	ITD
13	2520.0	2520.0	2520.0	2520.0	690	2011-12-22	ITD
14	2520.0	2520.0	2410.0	2440.0	730	2011-12-23	ITD
15	2460.0	2520.0	2330.0	2520.0	2270	2011-12-26	ITD
16	2520.0	2520.0	2520.0	2520.0	20	2011-12-27	ITD
17	2630.0	2630.0	2410.0	2410.0	20	2011-12-28	ITD
18	2520.0	2520.0	2330.0	2330.0	20	2011-12-29	ITD
19	2220.0	2220.0	2220.0	2220.0	10	2011-12-30	ITD
20	2110.0	2110.0	2110.0	2110.0	20	2012-01-03	ITD
21	2110.0	2110.0	2110.0	2110.0	0	2012-01-04	ITD
22	2200.0	2200.0	2200.0	2200.0	500	2012-01-05	ITD
23	2290.0	2290.0	2290.0	2290.0	500	2012-01-06	ITD
24	2380.0	2380.0	2200.0	2200.0	260	2012-01-09	ITD
25	2260.0	2260.0	2260.0	2260.0	50	2012-01-10	ITD
26	2350.0	2350.0	2350.0	2350.0	500	2012-01-11	ITD
27	2290.0	2290.0	2290.0	2290.0	3000	2012-01-12	ITD
28	2380.0	2380.0	2380.0	2380.0	100	2012-01-13	ITD
29	2440.0	2440.0	2440.0	2440.0	10	2012-01-16	ITD
30	2320.0	2320.0	2320.0	2320.0	20	2012-01-17	ITD
31	2230.0	2230.0	2230.0	2230.0	500	2012-01-18	ITD
32	2230.0	2230.0	2140.0	2140.0	1810	2012-01-19	ITD
33	2050.0	2050.0	2050.0	2050.0	200	2012-01-20	ITD
34	2140.0	2140.0	2140.0	2140.0	10	2012-01-30	ITD
35	2230.0	2230.0	2230.0	2230.0	70	2012-01-31	ITD
36	2140.0	2320.0	2140.0	2320.0	110	2012-02-01	ITD
37	2410.0	2410.0	2410.0	2410.0	30	2012-02-02	ITD
38	2530.0	2530.0	2290.0	2290.0	20	2012-02-03	ITD
39	2200.0	2200.0	2200.0	2200.0	20	2012-02-06	ITD
40	2290.0	2290.0	2110.0	2110.0	190	2012-02-07	ITD
41	2200.0	2200.0	2110.0	2110.0	30	2012-02-08	ITD
42	2020.0	2020.0	2020.0	2020.0	20	2012-02-09	ITD
43	2110.0	2110.0	2020.0	2110.0	3110	2012-02-10	ITD
44	2200.0	2200.0	2050.0	2050.0	80	2012-02-13	ITD
45	2140.0	2140.0	2140.0	2140.0	10	2012-02-14	ITD
46	2110.0	2110.0	2110.0	2110.0	2500	2012-02-15	ITD
47	2110.0	2110.0	2110.0	2110.0	10	2012-02-16	ITD
48	2200.0	2200.0	2200.0	2200.0	800	2012-02-17	ITD
49	2290.0	2290.0	2200.0	2200.0	20	2012-02-20	ITD
50	2140.0	2290.0	2140.0	2290.0	1110	2012-02-21	ITD
51	2290.0	2290.0	2290.0	2290.0	0	2012-02-22	ITD
52	2200.0	2200.0	2200.0	2200.0	1120	2012-02-23	ITD
53	2200.0	2260.0	2200.0	2260.0	20780	2012-02-24	ITD
54	2260.0	2290.0	2200.0	2290.0	12300	2012-02-27	ITD
55	2350.0	2350.0	2290.0	2290.0	5100	2012-02-28	ITD
56	2200.0	2290.0	2200.0	2290.0	3710	2012-02-29	ITD
57	2380.0	2380.0	2290.0	2380.0	19890	2012-03-01	ITD
58	2470.0	2470.0	2470.0	2470.0	4020	2012-03-02	ITD
59	2590.0	2590.0	2590.0	2590.0	3710	2012-03-05	ITD
60	2710.0	2710.0	2590.0	2620.0	9930	2012-03-06	ITD
61	2710.0	2710.0	2620.0	2620.0	4310	2012-03-07	ITD
62	2560.0	2650.0	2500.0	2590.0	9310	2012-03-08	ITD
63	2590.0	2620.0	2590.0	2590.0	2380	2012-03-09	ITD
64	2560.0	2590.0	2470.0	2470.0	25510	2012-03-12	ITD
65	2530.0	2590.0	2530.0	2590.0	5250	2012-03-13	ITD
66	2620.0	2620.0	2620.0	2620.0	3000	2012-03-14	ITD
67	2590.0	2710.0	2590.0	2710.0	7510	2012-03-15	ITD
68	2680.0	2710.0	2650.0	2710.0	2050	2012-03-16	ITD
69	2650.0	2830.0	2590.0	2830.0	3110	2012-03-19	ITD
70	2710.0	2710.0	2710.0	2710.0	2000	2012-03-20	ITD
71	2590.0	2740.0	2590.0	2620.0	11330	2012-03-21	ITD
72	2620.0	2650.0	2590.0	2650.0	8300	2012-03-22	ITD
73	2650.0	2770.0	2650.0	2710.0	28320	2012-03-23	ITD
74	2740.0	2740.0	2650.0	2710.0	20870	2012-03-26	ITD
75	2830.0	2830.0	2620.0	2650.0	25540	2012-03-27	ITD
76	2770.0	2770.0	2710.0	2710.0	1540	2012-03-28	ITD
77	2740.0	2740.0	2710.0	2710.0	5020	2012-03-29	ITD
78	2590.0	2710.0	2590.0	2590.0	5920	2012-03-30	ITD
79	2620.0	2650.0	2590.0	2590.0	6960	2012-04-03	ITD
80	2650.0	2650.0	2620.0	2620.0	3500	2012-04-04	ITD
81	2530.0	2620.0	2500.0	2530.0	12000	2012-04-05	ITD
82	2620.0	2620.0	2620.0	2620.0	180	2012-04-06	ITD
83	2500.0	2710.0	2500.0	2710.0	40270	2012-04-09	ITD
84	2650.0	2710.0	2650.0	2710.0	3310	2012-04-10	ITD
85	2800.0	2800.0	2740.0	2800.0	14360	2012-04-11	ITD
86	2890.0	2890.0	2830.0	2830.0	8870	2012-04-12	ITD
87	2740.0	2830.0	2710.0	2830.0	6810	2012-04-13	ITD
88	2830.0	2830.0	2710.0	2710.0	17760	2012-04-16	ITD
89	2830.0	2830.0	2710.0	2770.0	20430	2012-04-17	ITD
90	2890.0	2890.0	2770.0	2770.0	24950	2012-04-18	ITD
91	2710.0	2740.0	2680.0	2680.0	16020	2012-04-19	ITD
92	2710.0	2770.0	2710.0	2770.0	64490	2012-04-20	ITD
93	2830.0	2830.0	2710.0	2800.0	12110	2012-04-23	ITD
94	2710.0	2800.0	2710.0	2800.0	12050	2012-04-24	ITD
95	2740.0	2800.0	2740.0	2770.0	11410	2012-04-25	ITD
96	2710.0	2740.0	2710.0	2710.0	21100	2012-04-26	ITD
97	2710.0	2770.0	2710.0	2710.0	2840	2012-04-27	ITD
98	2740.0	2770.0	2710.0	2740.0	14630	2012-05-02	ITD
99	2740.0	2770.0	2710.0	2770.0	29300	2012-05-03	ITD
100	2770.0	2890.0	2770.0	2890.0	59380	2012-05-04	ITD
101	3010.0	3010.0	3010.0	3010.0	56890	2012-05-07	ITD
102	3160.0	3160.0	3130.0	3160.0	49000	2012-05-08	ITD
103	3310.0	3310.0	3160.0	3310.0	17220	2012-05-09	ITD
104	3460.0	3460.0	3310.0	3460.0	89940	2012-05-10	ITD
105	3620.0	3620.0	3310.0	3310.0	27670	2012-05-11	ITD
106	3190.0	3280.0	3160.0	3160.0	32550	2012-05-14	ITD
107	3010.0	3160.0	3010.0	3010.0	29640	2012-05-15	ITD
108	3130.0	3160.0	2950.0	3010.0	22100	2012-05-16	ITD
109	3010.0	3100.0	2980.0	3010.0	11430	2012-05-17	ITD
110	3010.0	3010.0	2980.0	3010.0	15940	2012-05-18	ITD
111	3040.0	3160.0	3010.0	3160.0	10300	2012-05-21	ITD
112	3220.0	3280.0	3040.0	3070.0	9380	2012-05-22	ITD
113	2950.0	3010.0	2920.0	3010.0	48340	2012-05-23	ITD
114	2890.0	3160.0	2890.0	3160.0	24850	2012-05-24	ITD
115	3310.0	3310.0	3310.0	3310.0	17530	2012-05-25	ITD
116	3460.0	3460.0	3400.0	3460.0	39500	2012-05-28	ITD
117	3310.0	3460.0	3310.0	3380.0	62100	2012-05-29	ITD
118	3380.0	3380.0	3220.0	3310.0	18160	2012-05-30	ITD
119	3160.0	3190.0	3160.0	3160.0	16200	2012-05-31	ITD
120	3160.0	3250.0	3070.0	3130.0	13000	2012-06-01	ITD
121	3270.0	3270.0	3130.0	3200.0	32640	2012-06-04	ITD
122	3130.0	3340.0	3130.0	3340.0	11050	2012-06-05	ITD
123	3300.0	3470.0	3300.0	3470.0	27060	2012-06-06	ITD
124	3470.0	3640.0	3470.0	3640.0	56300	2012-06-07	ITD
125	3640.0	3820.0	3580.0	3820.0	83830	2012-06-08	ITD
126	3950.0	3950.0	3710.0	3820.0	31310	2012-06-11	ITD
127	3640.0	3780.0	3640.0	3640.0	26050	2012-06-12	ITD
128	3470.0	3640.0	3470.0	3610.0	42900	2012-06-13	ITD
129	3510.0	3580.0	3470.0	3580.0	30470	2012-06-14	ITD
130	3580.0	3640.0	3440.0	3580.0	27610	2012-06-15	ITD
131	3580.0	3640.0	3540.0	3580.0	16590	2012-06-18	ITD
132	3470.0	3540.0	3470.0	3470.0	11600	2012-06-19	ITD
133	3540.0	3540.0	3440.0	3440.0	12110	2012-06-20	ITD
